Source,Destination,Packet_Count,Duration
fe80::2cfd:c3ff:fe9b:3091,ff02::2,2,28.143942
fe80::c0a0:b9ff:fee7:1bbb,ff02::2,2,30.728485
fe80::94b1:54ff:fe50:93d,ff02::2,2,30.72847
fe80::ccc8:daff:fe92:5ff9,ff02::2,3,55.790217
fe80::e0cf:f0ff:fe9e:1bcb,ff02::2,2,29.173996
fe80::841a:77ff:fea1:cbf9,ff02::2,2,28.643834
fe80::7421:10ff:fe85:70cf,ff02::2,2,30.195159
fe80::c43:aeff:fed0:41e1,ff02::2,2,29.675681
fe80::ec73:7eff:fe79:edfb,ff02::2,2,29.170196
fe80::a033:cdff:feb5:b148,ff02::2,2,29.694349
fe80::cc01:b9ff:fe7c:12a1,ff02::2,2,30.724608
fe80::d8de:9fff:fe8b:f076,ff02::2,2,34.842675
fe80::2c27:c0ff:fee0:fa6a,ff02::2,2,30.214136
fe80::4014:1dff:fe7e:601,ff02::2,2,34.842657
fe80::b06d:deff:fe21:5fa9,ff02::2,2,34.842645
fe80::f0fd:a9ff:fea1:3a9a,ff02::2,2,30.214049
fe80::d432:b8ff:fe5c:c021,ff02::2,2,30.214036
fe80::dc5b:b5ff:fe28:adb1,ff02::2,2,31.212674
fe80::649a:99ff:fe0e:389c,ff02::2,2,30.214006
fe80::d4db:3ff:fee8:48fe,ff02::2,2,30.718411
fe80::f4fe:9ff:fea3:fde9,ff02::2,2,30.207782
fe80::8808:18ff:fec1:65f7,ff02::2,2,34.836382
fe80::e8da:9cff:fe4f:25b,ff02::2,2,30.200396
fe80::d091:10ff:fe27:ded0,ff02::2,2,30.200087
fe80::9407:f0ff:fe09:b6a3,ff02::2,2,30.20007
fe80::5828:b3ff:fe89:bde7,ff02::2,2,34.298918
fe80::cc28:26ff:fe63:f01c,ff02::2,2,31.238438
fe80::ac74:12ff:febd:9c01,ff02::2,2,31.23842
fe80::d8c2:67ff:fea7:12b0,ff02::2,2,30.714214
fe80::b806:90ff:fe9e:4815,ff02::2,2,38.530783
fe80::341d:3fff:feda:d67f,ff02::2,2,29.704337
fe80::d8c6:8bff:fe2c:b758,ff02::2,2,32.247044
fe80::3c11:7aff:fea2:d4eb,ff02::2,2,31.737558
fe80::2cc9:aff:fea2:2705,ff02::2,2,28.164532
fe80::c480:8ff:fe0d:2fb8,ff02::2,2,31.737015
fe80::2c30:b7ff:feb1:1068,ff02::2,2,32.261015
fe80::9054:b3ff:fe55:d4fe,ff02::2,2,30.727837
fe80::205e:2dff:fe09:ec5a,ff02::2,2,33.836883
fe80::289d:46ff:fefc:db06,ff02::2,2,38.034652
fe80::f8e7:86ff:fedc:8e20,ff02::2,2,27.128571
fe80::e083:4ff:fe1c:570c,ff02::2,2,30.213691
fe80::203a:ecff:feb2:7553,ff02::2,2,26.597329
fe80::50c1:47ff:fe70:43f8,ff02::2,2,29.165405
fe80::1cc0:fcff:fe45:b280,ff02::2,2,30.690301
fe80::241e:3fff:fe4c:bfc7,ff02::2,2,30.189411
fe80::b04b:87ff:fe0a:238b,ff02::2,2,33.264224
fe80::b40b:39ff:fe52:bee4,ff02::2,2,32.247258
fe80::6471:b7ff:fe81:eed5,ff02::2,2,32.247221
fe80::548a:c6ff:fe16:2501,ff02::2,2,33.298352
fe80::306a:d1ff:fefc:a257,ff02::2,2,37.496108
fe80::a850:74ff:fe51:4076,ff02::2,2,37.495922
fe80::ec19:3aff:fe75:ad9d,ff02::2,2,37.49591
fe80::e495:4aff:feca:3996,ff02::2,2,29.668426
fe80::8ce7:deff:fe52:f1b0,ff02::2,2,31.212519
fe80::288b:c1ff:fe49:4f7c,ff02::2,2,33.29831
fe80::ece8:6dff:fed2:fec2,ff02::2,2,37.49608
fe80::40ab:a9ff:fee9:aed1,ff02::2,2,36.888844
